seed,stem,z_m,m_chi_GeV,SIC_T_raw,SICm_T_raw,epsB_T_raw,AUC_T_raw,SIC_T_I,SICm_T_I,epsB_T_I,AUC_T_I,SIC_T_S,SICm_T_S,epsB_T_S,AUC_T_S,SIC_Typ_I,SICm_Typ_I,epsB_Typ_I,AUC_Typ_I,SIC_Typ_II,SICm_Typ_II,epsB_Typ_II,AUC_Typ_II,SIC_Typ_tot,SICm_Typ_tot,epsB_Typ_tot,AUC_Typ_tot,SIC_V_I,SICm_V_I,epsB_V_I,AUC_V_I,SIC_V_II,SICm_V_II,epsB_V_II,AUC_V_II,SIC_M,SICm_M,epsB_M,AUC_M
001,eval_signal_neg_24_low,1.00000,0.00500,0.00840,0.00840,0.00103,0.34128,0.02650,0.02388,0.00087,0.58441,0.00827,0.00827,0.00107,0.33869,0.01901,0.01771,0.00113,0.55424,0.01480,0.01431,0.00097,0.50679,0.01820,0.01518,0.00067,0.54128,0.03993,0.03678,0.00093,0.72985,0.00397,0.00439,0.00077,0.33423,0.01901,0.01771,0.00113,0.55424
001,eval_signal_neg_20_low,1.04000,0.00500,0.05848,0.05848,0.00103,0.86928,0.00238,0.00214,0.00087,0.18796,0.06216,0.06216,0.00107,0.86881,0.00267,0.00253,0.00113,0.20108,0.01254,0.01244,0.00097,0.49584,0.00891,0.00885,0.00067,0.38705,0.00000,0.00000,0.00093,0.20360,0.05273,0.05328,0.00077,0.87145,0.00267,0.00253,0.00113,0.20108
001,eval_signal_neg_16_low,1.08000,0.00500,1.24185,1.24185,0.00103,0.98551,0.14131,0.12737,0.00087,0.34582,1.17177,1.17177,0.00107,0.98475,0.13991,0.14452,0.00113,0.40706,0.02058,0.02146,0.00097,0.49610,0.01936,0.01866,0.00067,0.48905,0.00000,0.00000,0.00093,0.23460,1.06000,1.16230,0.00077,0.98474,0.13991,0.14452,0.00113,0.40706
001,eval_signal_neg_8_low,1.16000,0.00500,1.49041,1.49041,0.00103,0.98455,11.44189,10.31358,0.00087,0.68186,0.87906,0.87906,0.00107,0.98187,10.53052,11.02971,0.00113,0.70391,0.02605,0.02551,0.00097,0.46006,0.04260,0.03731,0.00067,0.56714,0.00000,0.00000,0.00093,0.54839,0.99029,1.12043,0.00077,0.98228,10.53052,11.02971,0.00113,0.70391
001,eval_signal_zero_low,1.24000,0.00500,0.81847,0.81847,0.00103,0.98301,24.51663,22.09899,0.00087,0.90762,0.42254,0.42254,0.00107,0.97795,21.75849,23.05522,0.00113,0.91786,0.07269,0.07559,0.00097,0.43777,0.19365,0.19859,0.00067,0.65071,0.00000,0.00000,0.00093,0.79257,0.40341,0.48805,0.00077,0.97880,21.75849,23.05522,0.00113,0.91786
002,eval_signal_neg_91_5GeV,0.33000,5.00000,34.64681,27.18367,0.00073,0.99267,0.00822,0.00822,0.00100,0.59467,33.84588,29.63529,0.00077,0.99227,0.00940,0.00980,0.00123,0.56669,34.03022,29.94260,0.00080,0.99835,35.49836,30.39929,0.00073,0.99846,0.04172,0.03671,0.00080,0.59266,24.42001,27.43490,0.00137,0.98517,0.07745,0.08190,0.00123,0.56808
002,eval_signal_neg_58_5GeV,0.66000,5.00000,31.00281,24.49437,0.00073,0.98736,0.00285,0.00285,0.00100,0.59984,30.19530,26.43885,0.00077,0.98657,0.00456,0.00285,0.00123,0.57216,34.12073,30.02224,0.00080,0.99611,35.61209,30.49637,0.00073,0.99653,0.03323,0.02924,0.00080,0.59051,20.29812,22.46182,0.00137,0.97109,0.00456,0.00285,0.00123,0.57216
002,eval_signal_neg_24_5GeV,1.00000,5.00000,0.71602,0.82734,0.00073,0.80533,0.00632,0.00632,0.00100,0.60121,0.61866,0.54201,0.00077,0.79627,0.00740,0.00632,0.00123,0.57361,16.37235,14.40606,0.00080,0.96684,17.16720,14.70175,0.00073,0.97000,0.03465,0.03049,0.00080,0.59015,0.37383,0.33160,0.00137,0.67087,0.00740,0.00632,0.00123,0.57361
002,eval_signal_neg_20_5GeV,1.04000,5.00000,2.59969,3.00482,0.00073,0.95251,0.00032,0.00032,0.00100,0.32385,2.62092,2.29581,0.00077,0.95039,0.00028,0.00032,0.00123,0.34820,23.45862,20.64115,0.00080,0.98373,22.63357,19.38318,0.00073,0.97846,0.00071,0.00062,0.00080,0.16215,0.77823,0.67637,0.00137,0.91443,0.00028,0.00032,0.00123,0.34820
002,eval_signal_neg_16_5GeV,1.08000,5.00000,26.62838,24.29779,0.00073,0.99820,0.04490,0.04490,0.00100,0.35754,25.20916,22.07333,0.00077,0.99822,0.04670,0.05091,0.00123,0.38105,24.07416,21.18368,0.00080,0.98764,23.45705,20.08900,0.00073,0.98296,0.00035,0.00031,0.00080,0.30197,9.91088,8.89624,0.00137,0.99251,0.04670,0.05091,0.00123,0.38105
