stem,z_m,m_chi_GeV,dom_42,labelflip_rate_pct,mean_raw,mean_L,mean_S,mean_occ,mean_comb,std_raw,std_L,std_S,std_occ,std_comb,relstd_raw_pct,relstd_L_pct,relstd_S_pct,relstd_occ_pct,relstd_comb_pct,sic42_raw,sic42_L,sic42_S,sic42_occ,sic42_comb
eval_signal_neg_8_0.5GeV,1.16,0.5,comb,55.00000000000001,1.002555269414125,11.239060701922506,0.5947785798504934,10.578084346522038,9.390197885576296,0.38432040592178807,1.8140944008935727,0.22242999162214705,3.0935317717562643,7.378726322368632,38.33408667298491,16.140978761537088,37.39710863125874,29.244725891918083,78.57902902879862,1.6723891218852147,10.654662120405321,1.0125833299042604,8.486182931683713,10.895022001528638
eval_signal_zero_0.5GeV,1.24,0.5,occ,5.0,0.5992345232705265,23.791352378213002,0.308221577898708,49.4284443370294,20.556491352538547,0.2172287651546663,4.002693254487379,0.10192538510786368,14.455213059003562,16.589636225002945,36.251043075600236,16.824151863484886,33.06886746954484,29.2447258919181,80.70266438223793,0.9485649028927856,22.44173587091694,0.4943148728779938,39.65357118848188,24.98418887809952
eval_signal_neg_91_0.05GeV,0.33,0.05,L,20.0,0.004780166483650102,0.025014117314933627,0.004756822112578786,0.009715558640544785,0.01491828512706699,0.000502431687172099,0.0077536449248751145,0.000540369157364112,0.002841288493295886,0.008790199788340858,10.510757081172738,30.99707588021156,11.359877341958562,29.244725891918087,58.92232058490663,0.004898979485566356,0.021819715855161816,0.004977368134706042,0.007794228634059948,0.020906194429337
eval_signal_neg_58_0.05GeV,0.66,0.05,L,15.0,0.006038595739830088,0.03291129645772249,0.0058643893112178755,0.010795065156160874,0.0179493662362483,0.0009022278854878777,0.009081196704559504,0.0009921649942259763,0.0031569872147732066,0.011634816654008479,14.941021461941157,27.592947352363083,16.918470817209958,29.244725891918087,64.82020869635082,0.006429910574805842,0.031306548835666956,0.00653279567680168,0.008660254037844387,0.026373968357009753
eval_signal_neg_24_0.05GeV,1.0,0.05,L,15.0,0.00533844624514765,0.029916347494170974,0.005294327885046956,0.008636052124928698,0.016240640048720903,0.0005703004580690701,0.00815107151642031,0.0006037255448501564,0.0025255897718185656,0.010932741721235087,10.682892210208944,27.246212185523312,11.403251894452735,29.244725891918094,67.31718508899615,0.005205165703414253,0.028144271175498576,0.00528845364312517,0.0069282032302755096,0.026052334596558414
eval_signal_neg_20_0.05GeV,1.04,0.05,S,35.0,0.04773909932070369,0.0023531976399671396,0.04907875114894477,0.0021590130312321744,0.021813297918136722,0.009941912522294706,0.00040559052023311494,0.010756590158480978,0.0006313974429546414,0.01531094619432275,20.825513392086677,17.235718468542178,21.917000548438473,29.244725891918094,70.19088196467726,0.06215580222312314,0.0022135943621178654,0.06688338431011244,0.0017320508075688774,0.017046589303920938
eval_signal_neg_16_0.05GeV,1.08,0.05,raw,35.0,0.7993071606804342,0.15288767469521386,0.7395439473367735,0.07232693654627784,0.3847713471632691,0.26061791541193113,0.023376078998390268,0.25523136647828126,0.021151814338980484,0.3106414471303789,32.60547737243744,15.289707980052139,34.51199450653525,29.244725891918094,80.73403838944513,1.2339304579270258,0.14609722789977914,1.197057036396803,0.05802370205355739,0.25891517716332746
eval_signal_neg_8_0.05GeV,1.16,0.05,comb,55.00000000000001,0.8809079258129116,11.192086936689218,0.5359492783920209,10.374057615070601,9.346899315150797,0.3194630146236023,1.8062210129631366,0.1906920977881723,3.033864713397052,7.360344641102976,36.265199263452914,16.13837547171022,35.5802508700628,29.244725891918087,78.7463777337611,1.4320329408746153,10.611022688694998,0.8847271859439989,8.322504130368456,10.84034426225191
eval_signal_zero_0.05GeV,1.24,0.05,occ,5.0,0.5026566009271192,23.803109802580053,0.2696954159770038,49.66269725091808,20.581274660896085,0.17682157893113756,4.010093591600744,0.08230430419277353,14.523719681564135,16.627289640831712,35.17741110034187,16.846931450805997,30.517502084570612,29.244725891918094,80.78843470479093,0.8000645872365555,22.448060426237276,0.4180989233153075,39.8414987011031,24.98676194818313
eval_signal_neg_91_low,0.33,0.005,L,20.0,0.005298535468186271,0.02800080081405267,0.005136192450363609,0.011874571671776961,0.016102161689569985,0.000859910889734662,0.00828100777184641,0.0009268636000379002,0.0034726859362505264,0.009761447722881358,16.22921833585491,29.574181920148686,18.045733468812767,29.244725891918076,60.62197058426161,0.006123724356957945,0.02529822128134704,0.005910624659963425,0.009526279441628824,0.02283599699204503
