stem,z_m,m_chi_GeV,n_seeds,A_p_raw_mean,A_p_raw_std,A_p_raw_n,A_p_L_mean,A_p_L_std,A_p_L_n,A_p_S_mean,A_p_S_std,A_p_S_n,A_p_occ_mean,A_p_occ_std,A_p_occ_n,A_p_comb_mean,A_p_comb_std,A_p_comb_n,D_p_raw_mean,D_p_raw_std,D_p_raw_n,D_p_L_mean,D_p_L_std,D_p_L_n,D_p_S_mean,D_p_S_std,D_p_S_n,D_p_occ_mean,D_p_occ_std,D_p_occ_n,D_p_comb_mean,D_p_comb_std,D_p_comb_n
eval_signal_neg_24_5GeV,1.0,5.0,3,0.2785333333333333,0.3093899624889096,3,0.0199,0.01299256197470948,3,0.24876666666666666,0.26170223962018785,3,0.0139,0.0,3,0.10113333333333333,0.09702207079949501,3,0.03887709571751176,0.0,3,0.034358227615493335,0.0,3,0.04560838738653231,0.0,3,0.014310835055998655,0.0,3,0.04695782189408956,0.0,3
eval_signal_neg_24_low,1.0,0.005,3,0.008366666666666666,0.0015923427883328246,3,0.014066666666666667,0.009231949354761912,3,0.0083,0.0008981462390204989,3,0.0104,0.0,3,0.014833333333333334,0.0065849997890829294,3,0.00811348084539376,0.0,3,0.024363106854622545,0.0,3,0.00848528137423857,0.0,3,0.01073312629199899,0.0,3,0.028097713100561784,0.0,3
eval_signal_neg_58_0.05GeV,0.66,0.05,3,0.005633333333333333,0.0009030811456096043,3,0.0171,0.012149348405024307,3,0.0055000000000000005,0.0006976149845485451,3,0.0087,0.0,3,0.015600000000000001,0.00894315380612455,3,0.005408987230262507,0.0,3,0.030922404853944,0.0,3,0.005656854249492381,0.0,3,0.00894427190999916,0.0,3,0.03117691453623979,0.0,3
eval_signal_neg_58_0.5GeV,0.66,0.5,3,0.0266,0.01795791376153329,3,0.013300000000000001,0.009702576977277737,3,0.024466666666666664,0.013100720930120177,3,0.0069,0.0,3,0.017633333333333334,0.006271806402907822,3,0.011494097864307827,0.0,3,0.02405075933084533,0.0,3,0.013081475451951128,0.0,3,0.007155417527999327,0.0,3,0.03002221399786054,0.0,3
eval_signal_neg_58_5GeV,0.66,5.0,3,22.459966666666666,6.600367895975362,3,0.015333333333333334,0.011307028296103663,3,22.196333333333335,6.074768090132239,3,0.0069,0.0,3,19.165666666666667,8.105683418578733,3,21.63527279764624,0.0,3,0.027798929616171877,0.0,3,22.403971255114573,0.0,3,0.007155417527999327,0.0,3,20.736497168394056,0.0,3
eval_signal_neg_58_low,0.66,0.005,3,0.006933333333333333,0.0010780641085864154,3,0.013533333333333333,0.010254213226225056,3,0.006733333333333333,0.0008379870059984357,3,0.0026,0.0,3,0.014433333333333333,0.007753422183497785,3,0.005747048932153913,0.0,3,0.024987801902176972,0.0,3,0.006010407640085654,0.0,3,0.0026832815729997475,0.0,3,0.028482613280021538,0.0,3
eval_signal_neg_8_0.05GeV,1.16,0.05,3,1.1169333333333333,0.35751446901566875,3,6.137766666666667,4.69621144209765,3,0.8149,0.09205693890196433,3,8.3225,0.0,3,7.6227,3.345509627346283,3,0.49221783795388807,0.0,3,10.540791884909577,0.0,3,0.35956379823335943,0.0,3,8.59633973270019,0.0,3,13.01847876986714,0.0,3
eval_signal_neg_8_0.5GeV,1.16,0.5,3,1.2778666666666667,0.4278346201772622,3,6.1564000000000005,4.714840581256875,3,0.9105,0.113995526228006,3,8.4862,0.0,3,7.6691,3.337449041808229,3,0.5422509698338162,0.0,3,10.581397063000615,0.0,3,0.39279781694912713,0.0,3,8.765386471799175,0.0,3,13.073134595350426,0.0,3
eval_signal_neg_8_5GeV,1.16,5.0,3,15.534666666666666,4.565000360958972,3,6.017799999999999,4.612318432921415,3,14.3357,3.2696148886374985,3,8.2714,0.0,3,9.568266666666666,3.693149328448854,3,7.065151507828507,0.0,3,10.34776111521526,0.0,3,5.272895267308084,0.0,3,8.546251810004195,0.0,3,13.09930780755369,0.0,3
eval_signal_neg_8_low,1.16,0.005,3,1.1323,0.3662286262250217,3,6.158366666666667,4.711918853526896,3,0.8142666666666667,0.09388874030231503,3,8.481,0.0,3,7.656466666666667,3.341094322058102,3,0.48714691242551694,0.0,3,10.574213069953739,0.0,3,0.35638181771801997,0.0,3,8.761808763035177,0.0,3,13.055429187095276,0.0,3
eval_signal_neg_91_0.05GeV,0.33,0.05,3,0.005833333333333334,0.0008259674462242579,3,0.012833333333333334,0.008074789298936675,3,0.0057666666666666665,0.0005436502143433363,3,0.0078,0.0,3,0.013533333333333333,0.006284548954026499,3,0.004394802124588286,0.0,3,0.021551979140627637,0.0,3,0.004596194077712558,0.0,3,0.008049844718999243,0.0,3,0.025403411844343533,0.0,3
eval_signal_neg_91_0.5GeV,0.33,0.5,3,0.21566666666666665,0.2394215297104437,3,0.0145,0.00887956455388814,3,0.18446666666666667,0.19168123422900726,3,0.0095,0.0,3,0.0598,0.05118912644953679,3,0.03549647869859769,0.0,3,0.02405075933084533,0.0,3,0.04171930009000631,0.0,3,0.009838699100999075,0.0,3,0.0388749181254348,0.0,3
eval_signal_neg_91_5GeV,0.33,5.0,3,29.0675,4.002069522134766,3,0.024033333333333334,0.013929425289253282,3,28.808933333333332,3.5717553390766037,3,0.0191,0.0,3,28.834333333333333,3.4137004597487604,3,28.797786075619474,0.0,3,0.038731092948374304,0.0,3,30.050623986865897,0.0,3,0.01967739820199815,0.0,3,31.36282132291885,0.0,3
eval_signal_neg_91_low,0.33,0.005,3,0.005333333333333333,0.00033993463423951883,3,0.0146,0.009461500938011895,3,0.0054666666666666665,0.000612825877028341,3,0.0095,0.0,3,0.014566666666666667,0.006976309116494831,3,0.004732863826479692,0.0,3,0.024987801902176972,0.0,3,0.0049497474683058325,0.0,3,0.009838699100999075,0.0,3,0.027712812921102038,0.0,3
eval_signal_zero_0.05GeV,1.24,0.05,3,0.6631666666666667,0.2881699074427369,3,15.931700000000001,11.275752014241297,3,0.4066,0.03752181587645601,3,39.8441,0.0,3,22.835166666666666,5.259653741666101,3,0.2822815210793245,0.0,3,25.306708723953502,0.0,3,0.19622213177926695,0.0,3,41.24114334981512,0.0,3,31.188461541623585,0.0,3
eval_signal_zero_0.5GeV,1.24,0.5,3,0.7768999999999999,0.34046516219235506,3,15.901266666666666,11.255290881576046,3,0.4758,0.0370065759922026,3,39.6588,0.0,3,22.782733333333333,5.270587738467967,3,0.32791985083466446,0.0,3,25.293277780431087,0.0,3,0.21637467504308353,0.0,3,41.05063035813214,0.0,3,31.176914536239792,0.0,3
eval_signal_zero_5GeV,1.24,5.0,3,11.484266666666667,5.930577257082334,3,15.8689,11.235385672359746,3,9.202233333333332,3.195544233599167,3,39.412,0.0,3,23.043866666666666,5.251869434993812,3,4.991481028426619,0.0,3,25.174585721395744,0.0,3,2.774687009376012,0.0,3,40.81181829813516,0.0,3,31.11648520806461,0.0,3
eval_signal_zero_low,1.24,0.005,3,0.6753666666666667,0.2932595816375353,3,15.932,11.276942078418244,3,0.4155,0.03101612483854165,3,39.6007,0.0,3,22.816266666666667,5.3093601374260615,3,0.29546592745308936,0.0,3,25.32857305061791,0.0,3,0.19975766568519965,0.0,3,40.98712602757114,0.0,3,31.22502705867226,0.0,3
