stem,z_m,m_chi_GeV,n_seeds,cons_SIC_raw_mean,cons_SIC_raw_std,cons_SIC_raw_n,cons_SIC_L_mean,cons_SIC_L_std,cons_SIC_L_n,cons_SIC_S_mean,cons_SIC_S_std,cons_SIC_S_n,cons_SIC_occ_mean,cons_SIC_occ_std,cons_SIC_occ_n,cons_SIC_comb_mean,cons_SIC_comb_std,cons_SIC_comb_n,rand_SIC_raw_mean,rand_SIC_raw_std,rand_SIC_raw_n,rand_SIC_L_mean,rand_SIC_L_std,rand_SIC_L_n,rand_SIC_S_mean,rand_SIC_S_std,rand_SIC_S_n,rand_SIC_occ_mean,rand_SIC_occ_std,rand_SIC_occ_n,rand_SIC_comb_mean,rand_SIC_comb_std,rand_SIC_comb_n
eval_signal_neg_24_5GeV,1.0,5.0,3,0.27852353893557646,0.30941343923942544,3,0.019884296801675912,0.012972041700958187,3,0.24875882325206383,0.2616810155229149,3,0.013856406460551019,0.0,3,0.10114594040778263,0.09701426236748231,3,0.28222506707438455,0.3156585785614017,3,0.01970009577759367,0.013054359033170697,3,0.2436969979556032,0.25644282420158604,3,0.028533381260443816,0.0,3,0.1458991828230208,0.13191016181188275,3
eval_signal_neg_24_low,1.0,0.005,3,0.008389634848128746,0.0015961734817009903,3,0.014088246667948718,0.009216126740531605,3,0.008270697038741052,0.0009124916274784804,3,0.010392304845413263,0.0,3,0.014835865789323296,0.006595933546281487,3,0.008608095300314322,0.0013512530091163036,3,0.014184183259954129,0.0095804682582348,3,0.008237532244125878,0.0009450587581723238,3,0.025476233268253407,0.0,3,0.025593815324554976,0.008181961618123963,3
eval_signal_neg_58_0.05GeV,0.66,0.05,3,0.005658597182336413,0.0009228780423943292,3,0.017131549728602518,0.012144997082036018,3,0.0055045188633174565,0.0007226308152601161,3,0.008660254037844387,0.0,3,0.0155720028886153,0.008934414520619377,3,0.005588386647499744,0.0008337410101380212,3,0.01709676355166818,0.012367821719233868,3,0.005441306491357047,0.0008116204684227239,3,0.025476233268253407,0.0,3,0.024251375450481824,0.0076732802840903174,3
eval_signal_neg_58_0.5GeV,0.66,0.5,3,0.026611910769155766,0.01794875584674779,3,0.013307944679436726,0.009664459417363507,3,0.024452205632102302,0.013080567815724437,3,0.0069282032302755096,0.0,3,0.01761937076383464,0.006277965144081101,3,0.026556284535096304,0.01821420113271856,3,0.013189941538857584,0.009707335500606889,3,0.02362018994256039,0.012426235671341575,3,0.03328894480385112,0.0,3,0.036462031900051886,0.009416107840421968,3
eval_signal_neg_58_5GeV,0.66,5.0,3,22.459969109177365,6.600382819064384,3,0.015366817162424246,0.011302397454309224,3,22.19633785292261,6.074759491711775,3,0.0069282032302755096,0.0,3,19.16567454325873,8.10570923191632,3,22.24939581711484,6.637724667248647,3,0.01545554320409979,0.011645942485728674,3,21.503753242240542,5.666556294980423,3,0.02887306437068719,0.0,3,18.829882590748728,7.022692824582661,3
eval_signal_neg_58_low,0.66,0.005,3,0.006930119006512682,0.0010784093307292636,3,0.01354221853434116,0.01023035691154904,3,0.006742043635483131,0.0008376297296213118,3,0.002598076211353316,0.0,3,0.014443959039077402,0.00777803952687094,3,0.006856717083728891,0.001068051433220047,3,0.01353915718304238,0.010423888348577685,3,0.006539327786530162,0.0007490097661087524,3,0.02615559948874016,0.0,3,0.025230862050798712,0.007705463188162549,3
eval_signal_neg_8_0.05GeV,1.16,0.05,3,1.1169343878902873,0.3575389585380727,3,6.1377820128733145,4.696227196420287,3,0.8148919639111362,0.09203882551211187,3,8.322504130368456,0.0,3,7.622679766573232,3.345528496494353,3,1.1226302278191647,0.34908820138220986,3,6.100674342129131,4.690280737873953,3,0.8081750424899936,0.0815154164730064,3,3.291189655148097,0.0,3,7.106748526031788,3.1942981938731654,3
eval_signal_neg_8_0.5GeV,1.16,0.5,3,1.2778578786861077,0.4278600933426127,3,6.156397987334377,4.714845250853304,3,0.9105206215053955,0.11400872955660668,3,8.486182931683713,0.0,3,7.669093490709514,3.3374721153514186,3,1.2825124570538884,0.4174153812833219,3,6.1192604251492195,4.70912210613538,3,0.9040456944909466,0.10199008130277469,3,3.355389762984095,0.0,3,7.154726509366188,3.190035307887152,3
eval_signal_neg_8_5GeV,1.16,5.0,3,15.534655739640273,4.564974941221992,3,6.017808541497219,4.61233439882681,3,14.335693209665415,3.269640082842142,3,8.271408631545173,0.0,3,9.568246576448633,3.693136011122409,3,15.48053412796682,4.69043938377362,3,5.981580196802244,4.606758711464062,3,13.999681166511001,3.1439613380151834,3,3.2667324712105734,0.0,3,10.35744797773954,3.947189781024404,3
eval_signal_neg_8_low,1.16,0.005,3,1.1323145834686683,0.3662289915591854,3,6.158369209806154,4.711914923627803,3,0.8142678158788328,0.09388693634735501,3,8.480986779261007,0.0,3,7.656464477003518,3.3410860950180608,3,1.1357128921825042,0.35599478659593065,3,6.120576376638898,4.705414001121286,3,0.8037451267932242,0.08592268101046578,3,3.346218319007524,0.0,3,7.139368489610701,3.194305127925283,3
