stem,z_m,m_chi_GeV,n_seeds,sic_raw_mean,sic_raw_std,sic_raw_n,sic_L_mean,sic_L_std,sic_L_n,sic_S_mean,sic_S_std,sic_S_n,sic_occ_mean,sic_occ_std,sic_occ_n,sic_shellII_mean,sic_shellII_std,sic_shellII_n,majority_label,label_agreement_pct,dominance_agreement_pct,per_seed_labels
eval_signal_neg_58_5GeV,0.66,5.0,3,22.459969109177365,6.600382819064384,3,0.015366817162424246,0.011302397454309224,3,22.19633785292261,6.074759491711775,3,0.0069282032302755096,0.0,3,32.429272238713665,1.343142446630204,3,sic_shellII,66.66666666666667,66.66666666666667,sic_shellII;no_dominance;sic_shellII
eval_signal_neg_58_low,0.66,0.005,3,0.006930119006512682,0.0010784093307292636,3,0.01354221853434116,0.01023035691154904,3,0.006742043635483131,0.0008376297296213118,3,0.002598076211353316,0.0,3,0.018625473391557568,0.004841680861681793,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_8_0.05GeV,1.16,0.05,3,1.1169343878902873,0.3575389585380727,3,6.1377820128733145,4.696227196420287,3,0.8148919639111362,0.09203882551211187,3,8.322504130368456,0.0,3,0.06697514976205599,0.03164388048261892,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;sic_occ
eval_signal_neg_8_0.5GeV,1.16,0.5,3,1.2778578786861077,0.4278600933426127,3,6.156397987334377,4.714845250853304,3,0.9105206215053955,0.11400872955660668,3,8.486182931683713,0.0,3,0.08555261145641596,0.03433823846415684,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;sic_occ
eval_signal_neg_8_5GeV,1.16,5.0,3,15.534655739640273,4.564974941221992,3,6.017808541497219,4.61233439882681,3,14.335693209665415,3.269640082842142,3,8.271408631545173,0.0,3,12.785272083874771,4.848206840152339,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_8_low,1.16,0.005,3,1.1323145834686683,0.3662289915591854,3,6.158369209806154,4.711914923627803,3,0.8142678158788328,0.09388693634735501,3,8.480986779261007,0.0,3,0.06202224811845254,0.028663439253295515,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;sic_occ
eval_signal_neg_91_0.05GeV,0.33,0.05,3,0.005836611444120463,0.0008347984215451335,3,0.012858378826540688,0.008090725029917355,3,0.0057685136405300295,0.0005422820336171293,3,0.007794228634059948,0.0,3,0.01958861352076136,0.007985195197999883,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_91_0.5GeV,0.33,0.5,3,0.21568514222015606,0.2394130510921289,3,0.014500512245081604,0.008843912179532775,3,0.1844609994942981,0.19165265853598162,3,0.009526279441628824,0.0,3,5.579158544867885,0.38706848063792954,3,sic_shellII,100.0,100.0,sic_shellII;sic_shellII;sic_shellII
eval_signal_neg_91_5GeV,0.33,5.0,3,29.067481801749988,4.002086485253685,3,0.024062332299151234,0.013927703923209446,3,28.80891469248931,3.5717566596954144,3,0.019052558883257648,0.0,3,32.42361091945581,1.3129683050270622,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_91_low,0.33,0.005,3,0.005321582964982688,0.00035938860864808206,3,0.014594758091583239,0.009441970343664462,3,0.005476036786663234,0.0006237571679100298,3,0.009526279441628824,0.0,3,0.0192729962102407,0.008137794499012882,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_zero_0.05GeV,1.24,0.05,3,0.6631696071176858,0.2881729012948342,3,15.931692349994291,11.275746118402623,3,0.4066178790133925,0.03752367242950486,3,39.84409677731445,0.0,3,0.22927954965116276,0.11762552019539949,3,sic_occ,100.0,100.0,sic_occ;sic_occ;sic_occ
eval_signal_zero_0.5GeV,1.24,0.5,3,0.776902208498573,0.3404750863153534,3,15.901267608266993,11.255292596705713,3,0.47579019647847165,0.03701100518430893,3,39.65876734090458,0.0,3,0.2901053244656648,0.1496129336537939,3,sic_occ,100.0,100.0,sic_occ;sic_occ;sic_occ
eval_signal_zero_5GeV,1.24,5.0,3,11.484265674410807,5.930582862532382,3,15.868899987191943,11.235385855849941,3,9.202263198909112,3.195539255384491,3,39.41195010082602,0.0,3,9.970201966996985,3.9749579637740147,3,sic_occ,100.0,100.0,sic_occ;sic_occ;sic_occ
eval_signal_zero_low,1.24,0.005,3,0.6753551751474209,0.2932629571789728,3,15.932017234970468,11.276954349308987,3,0.41552530974852186,0.031016705704003597,3,39.60074363885102,0.0,3,0.24142247462383798,0.11920624266854936,3,sic_occ,100.0,100.0,sic_occ;sic_occ;sic_occ
