stem,z_m,m_chi_GeV,A_dom,D_dom,flipped,significant,A_p_raw,A_p_L,A_p_S,A_p_occ,A_p_comb,D_p_raw,D_p_L,D_p_S,D_p_occ,D_p_comb
eval_signal_neg_24_5GeV,1.0,5.0,p_S,p_comb,1,0,0.0527,0.016,0.0541,0.0139,0.0243,0.03887709571751176,0.034358227615493335,0.04560838738653231,0.014310835055998655,0.04695782189408956
eval_signal_neg_20_low,1.04,0.005,p_S,p_S,0,0,0.0579,0.0,0.0597,0.0,0.0157,0.036848725506163325,0.0021864326664404847,0.03995153313703993,0.0,0.02193931022920578
eval_signal_neg_20_0.05GeV,1.04,0.05,p_S,p_S,0,0,0.0615,0.0,0.0641,0.0017,0.015,0.035158416996706285,0.0021864326664404847,0.04136574669941303,0.0017888543819998318,0.020784609690826527
eval_signal_neg_20_0.5GeV,1.04,0.5,p_S,p_S,0,0,0.0652,0.0004,0.0663,0.0009,0.0153,0.03448229359292348,0.0018740851426632728,0.03853731957466684,0.0008944271909999159,0.018090308434608272
eval_signal_neg_20_5GeV,1.04,5.0,p_S,p_S,0,0,1.2551,0.0,1.2845,0.0,0.175,0.4935700847614537,0.0009370425713316364,0.567099638511611,0.0,0.10507774899251188
eval_signal_neg_16_low,1.08,0.005,p_S,p_S,0,0,1.0208,0.0,1.0767,0.0381,0.1593,0.5114873549616982,0.12993656989132024,0.5296229791087241,0.0393547964039963,0.31292384590077715
eval_signal_neg_16_0.05GeV,1.08,0.05,p_S,p_S,0,0,1.0374,0.0,1.0919,0.058,0.1553,0.4891752826368654,0.1446169035088492,0.5073491155013479,0.059926621796994366,0.3186973485926734
eval_signal_neg_16_0.5GeV,1.08,0.5,p_S,p_S,0,0,1.1709,0.0,1.2319,0.0502,0.154,0.5540831294000154,0.13430943522420122,0.5755849198858497,0.05187677707799512,0.3125389457213174
eval_signal_neg_16_5GeV,1.08,5.0,p_S,p_S,0,0,17.6801,0.0004,18.2197,0.0442,2.4093,8.383930206906884,0.1158809313213457,8.677967972111905,0.045615786740995715,1.3117398115988297
eval_signal_neg_8_low,1.16,0.005,p_occ,p_comb,1,1,0.6292,0.0,0.8822,8.481,3.351,0.48714691242551694,10.574213069953739,0.35638181771801997,8.761808763035177,13.055429187095276
eval_signal_neg_8_0.05GeV,1.16,0.05,p_occ,p_comb,1,1,0.6222,0.0,0.8885,8.3225,3.3007,0.49221783795388807,10.540791884909577,0.35956379823335943,8.59633973270019,13.01847876986714
eval_signal_neg_8_0.5GeV,1.16,0.5,p_occ,p_comb,1,1,0.6908,0.0,0.9858,8.4862,3.3717,0.5422509698338162,10.581397063000615,0.39279781694912713,8.765386471799175,13.073134595350426
eval_signal_neg_8_5GeV,1.16,5.0,p_S,p_comb,1,1,11.1629,0.0,13.3353,8.2714,4.402,7.065151507828507,10.34776111521526,5.272895267308084,8.546251810004195,13.09930780755369
eval_signal_zero_low,1.24,0.005,p_occ,p_occ,0,0,0.2667,0.0,0.4495,39.6007,15.3077,0.29546592745308936,25.32857305061791,0.19975766568519965,40.98712602757114,31.22502705867226
eval_signal_zero_0.05GeV,1.24,0.05,p_occ,p_occ,0,0,0.2624,0.0,0.4492,39.8441,15.397,0.2822815210793245,25.306708723953502,0.19622213177926695,41.24114334981512,31.188461541623585
eval_signal_zero_0.5GeV,1.24,0.5,p_occ,p_occ,0,0,0.3016,0.0,0.5164,39.6588,15.329,0.32791985083466446,25.293277780431087,0.21637467504308353,41.05063035813214,31.176914536239792
eval_signal_zero_5GeV,1.24,5.0,p_occ,p_occ,0,0,4.8099,0.0,7.6141,39.412,15.6207,4.991481028426619,25.174585721395744,2.774687009376012,40.81181829813516,31.11648520806461
